Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Oxidative phosphorylation	25/133	6.140011e-25	1.178882e-22	0	0	2.604762e+01	1.452150e+03	NDUFB9;COX7B;UQCRB;NDUFB5;COX4I1;ATP5MC3;COX7A2;COX6A1;COX5B;COX7C;COX5A;UQCRH;ATP5MC1;ATP5F1A;ATP5F1B;CYC1;ATP5MG;COX8A;ATP5PF;NDUFA1;COX6C;ATP5F1D;COX6B1;NDUFS6;UQCRC1
KEGG_2021_Human	Diabetic cardiomyopathy	28/203	6.130411e-24	5.885195e-22	0	0	1.825581e+01	9.757510e+02	NDUFB9;COX7B;UQCRB;NDUFB5;COX4I1;SLC2A1;ATP5MC3;COX7A2;COX5B;COX6A1;COX7C;COX5A;UQCRH;ATP5MC1;ATP5F1A;ATP5F1B;CYC1;CTSD;COX8A;ATP5PF;NDUFA1;COX6C;ATP5F1D;COX6B1;NDUFS6;UQCRC1;VDAC2;SLC25A5
KEGG_2021_Human	Parkinson disease	29/249	1.231545e-22	7.881888e-21	0	0	1.509357e+01	7.614494e+02	NDUFB9;COX7B;CALML5;UQCRB;NDUFB5;COX4I1;ATP5MC3;COX7A2;COX5B;COX6A1;COX7C;COX5A;UQCRH;ATP5MC1;ATP5F1A;KLC3;ATP5F1B;CYC1;SNCA;COX8A;ATP5PF;NDUFA1;COX6C;ATP5F1D;COX6B1;NDUFS6;UQCRC1;VDAC2;SLC25A5
KEGG_2021_Human	Thermogenesis	27/232	4.044714e-21	1.941463e-19	0	0	1.491795e+01	7.005002e+02	NDUFB9;COX7B;UQCRB;NDUFB5;COX4I1;ATP5MC3;COX7A2;COX5B;COX6A1;COX7C;COX5A;UQCRH;ATP5MC1;ATP5F1A;ATP5F1B;CYC1;ATP5MG;COX8A;ATP5PF;ACSL1;RPS6;NDUFA1;COX6C;ATP5F1D;COX6B1;NDUFS6;UQCRC1
KEGG_2021_Human	Huntington disease	29/306	4.176206e-20	1.603663e-18	0	0	1.195277e+01	5.333602e+02	NDUFB9;COX7B;UQCRB;NDUFB5;COX4I1;CLTB;ATP5MC3;COX7A2;COX5B;COX6A1;COX7C;COX5A;UQCRH;ATP5MC1;ATP5F1A;KLC3;ATP5F1B;CYC1;COX8A;ATP5PF;GPX2;NDUFA1;COX6C;ATP5F1D;COX6B1;NDUFS6;UQCRC1;VDAC2;SLC25A5
KEGG_2021_Human	Alzheimer disease	31/369	6.720659e-20	2.150611e-18	0	0	1.056199e+01	4.662751e+02	APP;NDUFB9;COX7B;CALML5;UQCRB;NDUFB5;COX4I1;ATP5MC3;COX7A2;COX5B;COX6A1;COX7C;COX5A;UQCRH;RTN4;ATP5MC1;ATP5F1A;KLC3;ATP5F1B;CYC1;SNCA;COX8A;ATP5PF;NDUFA1;COX6C;ATP5F1D;COX6B1;NDUFS6;UQCRC1;VDAC2;SLC25A5
KEGG_2021_Human	Prion disease	27/273	2.956776e-19	8.110015e-18	0	0	1.240561e+01	5.292856e+02	NDUFB9;COX7B;UQCRB;NDUFB5;COX4I1;ATP5MC3;COX7A2;COX5B;COX6A1;COX7C;COX5A;UQCRH;ATP5MC1;ATP5F1A;KLC3;ATP5F1B;CYC1;COX8A;ATP5PF;NDUFA1;COX6C;ATP5F1D;COX6B1;NDUFS6;UQCRC1;VDAC2;SLC25A5
KEGG_2021_Human	Cardiac muscle contraction	17/87	1.345649e-17	3.229558e-16	0	0	2.618345e+01	1.017150e+03	COX8A;COX7B;UQCRB;COX4I1;ATP1B3;COX7A2;ATP1A1;COX6A1;ATP1B1;COX5B;COX6C;COX7C;COX5A;UQCRH;COX6B1;UQCRC1;CYC1
KEGG_2021_Human	Pathways of neurodegeneration	31/475	9.348507e-17	1.994348e-15	0	0	7.996642e+00	2.951459e+02	APP;NDUFB9;COX7B;CALML5;UQCRB;NDUFB5;COX4I1;ATP5MC3;COX7A2;COX5B;COX6A1;COX7C;COX5A;UQCRH;ATP5MC1;ATP5F1A;KLC3;ATP5F1B;CYC1;SNCA;COX8A;ATP5PF;GPX2;NDUFA1;COX6C;ATP5F1D;COX6B1;NDUFS6;UQCRC1;VDAC2;SLC25A5
KEGG_2021_Human	Amyotrophic lateral sclerosis	27/364	4.542339e-16	8.721291e-15	0	0	9.013585e+00	3.184312e+02	NDUFB9;COX7B;UQCRB;NDUFB5;COX4I1;ATP5MC3;COX7A2;COX5B;COX6A1;COX7C;COX5A;UQCRH;ATP5MC1;ATP5F1A;KLC3;ATP5F1B;CYC1;COX8A;ATP5PF;GPX2;NDUFA1;CHCHD10;COX6C;ATP5F1D;COX6B1;NDUFS6;UQCRC1
KEGG_2021_Human	Non-alcoholic fatty liver disease	18/155	2.080439e-14	3.631311e-13	0	0	1.419483e+01	4.471886e+02	COX8A;NDUFB9;COX7B;UQCRB;NDUFB5;COX4I1;NDUFA1;COX7A2;COX6A1;COX5B;COX6C;COX7C;COX5A;UQCRH;COX6B1;NDUFS6;UQCRC1;CYC1
KEGG_2021_Human	Ribosome	14/158	6.872016e-10	1.099523e-08	0	0	1.027419e+01	2.167690e+02	RPS9;RPL3;RPL21;RPS5;RPLP1;RPS6;RPLP0;RPL10A;RPL8;RPL7;RPS18;RPS3;RPS2;RPS21
KEGG_2021_Human	Coronavirus disease	16/232	1.638974e-09	2.420638e-08	0	0	7.884058e+00	1.594882e+02	RPS9;RPL3;RPL21;RPLP1;RPS5;RPLP0;RPS6;RPL8;RPL10A;EGFR;RPL7;RPS18;PLCG2;RPS3;RPS2;RPS21
KEGG_2021_Human	Estrogen signaling pathway	8/137	7.222413e-05	9.905023e-04	0	0	6.353682e+00	6.058704e+01	KRT18;CALML5;KRT17;KRT16;KRT14;KRT23;CTSD;EGFR
KEGG_2021_Human	Staphylococcus aureus infection	6/95	3.852165e-04	4.930771e-03	0	0	6.849647e+00	5.384990e+01	KRT18;KRT17;KRT16;KRT14;KRT23;DEFB1
KEGG_2021_Human	Aldosterone-regulated sodium reabsorption	4/37	4.949473e-04	5.939367e-03	0	0	1.222449e+01	9.304132e+01	HSD11B2;ATP1B3;ATP1A1;ATP1B1
KEGG_2021_Human	Ferroptosis	4/41	7.356418e-04	8.308425e-03	0	0	1.090072e+01	7.864614e+01	GPX4;ACSL1;VDAC2;SAT1
KEGG_2021_Human	Arrhythmogenic right ventricular cardiomyopathy	5/77	1.048904e-03	1.118831e-02	0	0	7.025641e+00	4.819597e+01	DSP;JUP;ITGB4;ITGB8;DSC2
KEGG_2021_Human	Proximal tubule bicarbonate reclamation	3/23	1.505225e-03	1.497485e-02	0	0	1.506091e+01	9.787806e+01	ATP1B3;ATP1A1;ATP1B1
KEGG_2021_Human	Arginine and proline metabolism	4/50	1.559881e-03	1.497485e-02	0	0	8.763975e+00	5.664285e+01	CKMT1A;CKMT1B;CKB;SAT1
